developer_id,top_companies_faang,top_company_tier_1,top_company_tier_1_names,top_company_tier_1_2yoe,top_company_tier_2,top_company_tier_2_names,top_company_tier_2_2yoe,top_university_us,top_university_us_names,top_university_whole_list,top_university_whole_list_names
2733820,0,0,,0,1,ebay,0,0,,0,
3311316,0,0,,0,0,,0,0,,0,
4137894,0,0,,0,0,,0,0,,0,
6610104,0,0,,0,0,,0,0,,0,
5483103,0,0,,0,0,,0,0,,0,
6602004,0,0,,0,0,,0,0,,0,
6609631,0,1,VMware,1,0,,0,0,,0,
3882574,0,0,,0,0,,0,0,,0,
6608797,0,0,,0,0,,0,0,,0,
6601800,0,0,,0,0,,0,0,,0,
1990786,0,0,,0,0,,0,0,,0,
4832451,0,0,,0,0,,0,0,,0,
6602545,0,0,,0,0,,0,0,,0,
6601177,0,0,,0,0,,0,0,,0,
6609024,0,0,,0,0,,0,0,,0,
5902503,0,1,Applied Materials,1,0,,0,0,,0,
2598386,0,1,Zoom,0,0,,0,0,,0,
6591461,0,0,,0,0,,0,0,,0,
6601790,1,1,Amazon,1,0,,0,0,,0,
1107921,0,1,Cisco,0,0,,0,0,,0,
6611479,0,0,,0,0,,0,0,,0,
2571782,0,0,,0,0,,0,0,,0,
6567787,0,1,IBM,0,0,,0,0,,0,
6590802,0,0,,0,0,,0,0,,0,
6590617,0,0,,0,0,,0,0,,0,
6605033,0,0,,0,0,,0,0,,0,
5541014,0,0,,0,0,,0,0,,0,
6609683,0,1,Cloudflare;Paypal;Akamai;LinkedIn,0,0,,0,0,,0,
1578658,0,0,,0,0,,0,0,,0,
6610211,0,0,,0,0,,0,0,,0,
1548802,0,0,,0,0,,0,0,,0,
6607420,0,0,,0,1,Boeing,0,0,,0,
3027339,0,0,,0,0,,0,0,,0,
3543947,0,0,,0,1,Walmart,0,0,,0,
6602070,0,0,,0,0,,0,0,,0,
6607700,0,0,,0,0,,0,0,,0,
5938335,0,1,Microsoft,1,0,,0,0,,0,
6583444,0,0,,0,0,,0,0,,0,
6611723,0,1,Oracle,0,0,,0,0,,0,
6607525,0,0,,0,0,,0,0,,0,
6610040,0,0,,0,0,,0,0,,0,
6601770,0,0,,0,0,,0,0,,0,
6607871,0,0,,0,0,,0,0,,0,
4542804,0,0,,0,0,,0,0,,0,
6010370,0,0,,0,0,,0,0,,0,
1688726,0,0,,0,0,,0,0,,0,
6584472,0,0,,0,0,,0,0,,0,
5173355,0,0,,0,0,,0,0,,0,
6598815,0,0,,0,0,,0,0,,0,
5665486,0,0,,0,0,,0,0,,0,
2389718,0,0,,0,0,,0,0,,0,
2206761,0,0,,0,0,,0,0,,0,
6592807,0,0,,0,0,,0,0,,0,
3862330,0,1,Oracle;Snowflake,0,0,,0,0,,0,
1772442,0,0,,0,0,,0,0,,0,
6584611,0,0,,0,0,,0,0,,0,
6585134,0,0,,0,0,,0,0,,0,
6590618,0,0,,0,0,,0,0,,0,
426064,0,0,,0,0,,0,0,,0,
1846147,0,0,,0,0,,0,0,,0,
1253655,0,0,,0,0,,0,0,,0,
1242812,0,0,,0,0,,0,0,,0,
1741533,0,0,,0,0,,0,0,,0,
4117945,0,0,,0,0,,0,0,,0,
153629,0,1,Salesforce;Coursera;Oracle,1,0,,0,0,,0,
6590480,0,0,,0,0,,0,0,,0,
3683921,0,0,,0,0,,0,0,,0,
193834,0,0,,0,0,,0,0,,0,
3239690,0,1,Mastercard,0,0,,0,0,,0,
2722399,0,0,,0,0,,0,0,,0,
1156310,0,0,,0,0,,0,0,,0,
5806387,0,0,,0,1,ebay,0,0,,0,
3149598,0,0,,0,0,,0,0,,0,
6082912,0,0,,0,0,,0,0,,0,
4257826,0,0,,0,0,,0,0,,0,
6282516,0,0,,0,0,,0,0,,0,
5901397,0,0,,0,0,,0,0,,0,
2221129,0,0,,0,0,,0,0,,0,
3253523,0,0,,0,0,,0,0,,0,
6588095,0,0,,0,0,,0,0,,0,
679875,0,0,,0,1,Siemens,0,0,,0,
6583811,0,1,SAP,0,0,,0,0,,0,
6612890,0,0,,0,0,,0,0,,0,
6223645,0,0,,0,0,,0,0,,0,
6604317,0,0,,0,0,,0,0,,0,
6607752,0,0,,0,0,,0,0,,0,
6607821,0,1,IBM,0,1,Siemens,0,0,,1,ETH Zurich
6577898,0,0,,0,0,,0,0,,0,
6603288,0,0,,0,0,,0,0,,0,
5273284,0,0,,0,0,,0,0,,0,
6607744,1,1,Amazon,0,0,,0,0,,0,
6604834,0,0,,0,0,,0,0,,0,
6605176,0,1,Qualcomm,0,0,,0,0,,0,
6587684,0,0,,0,0,,0,0,,0,
6607442,0,1,Oracle;Splunk,0,1,Hewlett Packard Enterprise (HPE),1,0,,0,
1253921,0,0,,0,0,,0,0,,0,
6608745,0,0,,0,0,,0,0,,0,
6601867,0,1,Spotify,1,0,,0,0,,1,KTH (Sweden)
6608712,0,1,Microsoft;IBM;Oracle,1,0,,0,1,"University of California, Berkeley (UC Berkeley)",1,"ETH Zurich (Switzerland);University of California, Berkeley (UC Berkeley)"
6607368,0,1,Spotify,1,0,,0,0,,0,
15061,0,0,,0,1,ADP,1,0,,0,
2641878,0,0,,0,1,Johnson & Johnson,0,0,,0,
429500,0,0,,0,0,,0,0,,0,
3277130,0,0,,0,0,,0,0,,0,
348036,0,0,,0,0,,0,0,,0,
1851759,0,1,IBM,0,0,,0,0,,0,
6582189,0,0,,0,0,,0,0,,0,
6585343,0,0,,0,0,,0,0,,0,
3692708,0,0,,0,0,,0,0,,0,
6586860,0,0,,0,0,,0,0,,0,
688170,0,0,,0,0,,0,0,,0,
6604010,0,0,,0,0,,0,0,,0,
597139,0,1,BMW Group,0,1,ebay,0,0,,0,
6608528,0,0,,0,0,,0,0,,0,
6602212,0,0,,0,0,,0,0,,0,
6605570,0,0,,0,0,,0,0,,0,
6602644,0,0,,0,0,,0,0,,0,
6608577,0,0,,0,0,,0,0,,0,
6585070,0,0,,0,0,,0,0,,0,
5963882,0,0,,0,0,,0,0,,0,
6566385,0,0,,0,0,,0,0,,0,
6468718,0,0,,0,0,,0,0,,0,
6609105,0,0,,0,0,,0,1,"University of Texas, Austin",1,"University of Texas, Austin"
6596517,0,0,,0,0,,0,0,,0,
4890561,0,0,,0,0,,0,0,,0,
4791858,0,1,SAP,0,0,,0,0,,0,
1862874,0,0,,0,0,,0,0,,0,
6610267,0,0,,0,0,,0,0,,0,
6611399,0,0,,0,0,,0,0,,0,
257077,0,1,IBM,0,0,,0,0,,0,
6612965,0,0,,0,0,,0,0,,0,
617405,0,1,IBM,0,0,,0,0,,0,
5796264,0,0,,0,0,,0,0,,0,
6604889,0,0,,0,0,,0,0,,0,
3895510,0,0,,0,0,,0,0,,0,
276537,0,0,,0,0,,0,0,,0,
3086003,0,0,,0,0,,0,0,,0,
5813245,0,0,,0,0,,0,0,,0,
3586851,0,0,,0,0,,0,0,,0,
2465481,0,0,,0,0,,0,0,,0,
6608721,0,1,Apple;Meta (Facebook);ServiceNow,0,0,,0,0,,0,
1360613,0,0,,0,0,,0,0,,0,
3133137,0,1,ServiceNow,0,0,,0,0,,0,
6604920,0,0,,0,0,,0,0,,0,
3685515,0,0,,0,0,,0,0,,0,
6607202,0,0,,0,0,,0,0,,0,
6516434,0,0,,0,0,,0,0,,0,
6602060,0,0,,0,0,,0,0,,0,
6602678,0,1,IBM,0,0,,0,0,,0,
6601587,0,0,,0,0,,0,0,,0,
6602555,0,0,,0,0,,0,0,,0,
3587737,0,0,,0,0,,0,0,,0,
6583586,0,1,Oracle,0,0,,0,0,,0,
6591629,0,0,,0,0,,0,0,,0,
6601131,0,0,,0,0,,0,0,,0,
3073790,0,0,,0,0,,0,0,,0,
554989,0,1,Oracle,0,1,Johnson & Johnson,1,0,,0,
35874,0,0,,0,0,,0,0,,0,
4079667,0,1,Uber;Splunk,0,1,Walmart,0,0,,0,
3138467,0,0,,0,0,,0,0,,0,
6607475,0,0,,0,0,,0,0,,0,
126019,0,1,Cisco,0,0,,0,0,,0,
6607912,1,1,Huawei;Meta (Facebook),1,0,,0,0,,0,
6608624,1,1,Amazon,1,0,,0,0,,0,
6597111,0,0,,0,1,General Electric,0,0,,0,
6602624,0,0,,0,0,,0,0,,0,
6610691,0,0,,0,0,,0,0,,0,
6609965,0,0,,0,0,,0,0,,0,
